325.000, 0.126	325.000, 0.116	325.000, 0.134	325.000, 0.176	325.000, 0.104	325.000, 0.124	325.000, 0.568	325.000, 0.156	325.000, 0.151	325.000, 0.155
326.000, 0.125	326.000, 0.116	326.000, 0.134	326.000, 0.178	326.000, 0.103	326.000, 0.126	326.000, 0.571	326.000, 0.158	326.000, 0.153	326.000, 0.161
327.000, 0.126	327.000, 0.121	327.000, 0.136	327.000, 0.183	327.000, 0.105	327.000, 0.130	327.000, 0.576	327.000, 0.162	327.000, 0.157	327.000, 0.169
328.000, 0.131	328.000, 0.129	328.000, 0.140	328.000, 0.188	328.000, 0.110	328.000, 0.135	328.000, 0.572	328.000, 0.168	328.000, 0.160	328.000, 0.169
329.000, 0.131	329.000, 0.128	329.000, 0.142	329.000, 0.188	329.000, 0.109	329.000, 0.135	329.000, 0.569	329.000, 0.168	329.000, 0.156	329.000, 0.168
330.000, 0.128	330.000, 0.123	330.000, 0.141	330.000, 0.186	330.000, 0.104	330.000, 0.131	330.000, 0.567	330.000, 0.162	330.000, 0.149	330.000, 0.167
331.000, 0.125	331.000, 0.122	331.000, 0.136	331.000, 0.182	331.000, 0.102	331.000, 0.127	331.000, 0.565	331.000, 0.156	331.000, 0.150	331.000, 0.164
332.000, 0.124	332.000, 0.122	332.000, 0.134	332.000, 0.181	332.000, 0.103	332.000, 0.128	332.000, 0.562	332.000, 0.155	332.000, 0.152	332.000, 0.164
333.000, 0.127	333.000, 0.122	333.000, 0.139	333.000, 0.183	333.000, 0.107	333.000, 0.134	333.000, 0.558	333.000, 0.159	333.000, 0.153	333.000, 0.167
334.000, 0.128	334.000, 0.122	334.000, 0.140	334.000, 0.185	334.000, 0.106	334.000, 0.133	334.000, 0.555	334.000, 0.159	334.000, 0.155	334.000, 0.165
335.000, 0.128	335.000, 0.124	335.000, 0.140	335.000, 0.186	335.000, 0.105	335.000, 0.132	335.000, 0.554	335.000, 0.159	335.000, 0.157	335.000, 0.165
336.000, 0.130	336.000, 0.130	336.000, 0.144	336.000, 0.190	336.000, 0.108	336.000, 0.133	336.000, 0.554	336.000, 0.162	336.000, 0.158	336.000, 0.171
337.000, 0.130	337.000, 0.130	337.000, 0.143	337.000, 0.189	337.000, 0.108	337.000, 0.133	337.000, 0.552	337.000, 0.161	337.000, 0.158	337.000, 0.169
338.000, 0.130	338.000, 0.126	338.000, 0.139	338.000, 0.186	338.000, 0.104	338.000, 0.132	338.000, 0.549	338.000, 0.158	338.000, 0.156	338.000, 0.164
339.000, 0.128	339.000, 0.124	339.000, 0.139	339.000, 0.184	339.000, 0.099	339.000, 0.128	339.000, 0.544	339.000, 0.157	339.000, 0.154	339.000, 0.164
340.000, 0.126	340.000, 0.125	340.000, 0.139	340.000, 0.183	340.000, 0.099	340.000, 0.128	340.000, 0.542	340.000, 0.155	340.000, 0.153	340.000, 0.165
341.000, 0.126	341.000, 0.127	341.000, 0.140	341.000, 0.182	341.000, 0.104	341.000, 0.132	341.000, 0.542	341.000, 0.154	341.000, 0.154	341.000, 0.166
342.000, 0.129	342.000, 0.129	342.000, 0.140	342.000, 0.186	342.000, 0.103	342.000, 0.132	342.000, 0.538	342.000, 0.153	342.000, 0.152	342.000, 0.166
