325.000, 0.278	325.000, 0.288	325.000, 0.287	325.000, 0.280	325.000, 0.284
326.000, 0.282	326.000, 0.287	326.000, 0.286	326.000, 0.284	326.000, 0.286
327.000, 0.289	327.000, 0.289	327.000, 0.287	327.000, 0.290	327.000, 0.290
328.000, 0.293	328.000, 0.296	328.000, 0.293	328.000, 0.293	328.000, 0.293
329.000, 0.293	329.000, 0.298	329.000, 0.295	329.000, 0.294	329.000, 0.294
330.000, 0.290	330.000, 0.295	330.000, 0.295	330.000, 0.294	330.000, 0.294
331.000, 0.291	331.000, 0.292	331.000, 0.293	331.000, 0.291	331.000, 0.292
332.000, 0.295	332.000, 0.293	332.000, 0.294	332.000, 0.290	332.000, 0.294
333.000, 0.300	333.000, 0.298	333.000, 0.297	333.000, 0.293	333.000, 0.299
334.000, 0.300	334.000, 0.299	334.000, 0.296	334.000, 0.297	334.000, 0.298
335.000, 0.299	335.000, 0.299	335.000, 0.297	335.000, 0.300	335.000, 0.297
336.000, 0.300	336.000, 0.302	336.000, 0.304	336.000, 0.301	336.000, 0.300
337.000, 0.303	337.000, 0.305	337.000, 0.305	337.000, 0.302	337.000, 0.303
338.000, 0.305	338.000, 0.307	338.000, 0.304	338.000, 0.302	338.000, 0.304
339.000, 0.303	339.000, 0.303	339.000, 0.304	339.000, 0.302	339.000, 0.305
340.000, 0.303	340.000, 0.304	340.000, 0.305	340.000, 0.303	340.000, 0.306
341.000, 0.308	341.000, 0.309	341.000, 0.305	341.000, 0.306	341.000, 0.307
342.000, 0.309	342.000, 0.308	342.000, 0.307	342.000, 0.310	342.000, 0.309
343.000, 0.309	343.000, 0.308	343.000, 0.309	343.000, 0.311	343.000, 0.309
344.000, 0.309	344.000, 0.309	344.000, 0.310	344.000, 0.309	344.000, 0.309
345.000, 0.310	345.000, 0.310	345.000, 0.311	345.000, 0.308	345.000, 0.311
346.000, 0.312	346.000, 0.312	346.000, 0.312	346.000, 0.310	346.000, 0.315
347.000, 0.315	347.000, 0.315	347.000, 0.315	347.000, 0.314	347.000, 0.317
348.000, 0.316	348.000, 0.317	348.000, 0.317	348.000, 0.318	348.000, 0.317
349.000, 0.317	349.000, 0.317	349.000, 0.319	349.000, 0.319	349.000, 0.317
350.000, 0.319	350.000, 0.319	350.000, 0.321	350.000, 0.320	350.000, 0.320
351.000, 0.321	351.000, 0.321	351.000, 0.322	351.000, 0.322	351.000, 0.323
352.000, 0.322	352.000, 0.322	352.000, 0.323	352.000, 0.323	352.000, 0.324
353.000, 0.324	353.000, 0.324	353.000, 0.323	353.000, 0.324	353.000, 0.326
354.000, 0.326	354.000, 0.325	354.000, 0.324	354.000, 0.326	354.000, 0.327
355.000, 0.326	355.000, 0.325	355.000, 0.326	355.000, 0.327	355.000, 0.327
356.000, 0.327	356.000, 0.326	356.000, 0.328	356.000, 0.327	356.000, 0.327
357.000, 0.329	357.000, 0.328	357.000, 0.329	357.000, 0.328	357.000, 0.329
358.000, 0.329	358.000, 0.329	358.000, 0.330	358.000, 0.329	358.000, 0.331
359.000, 0.331	359.000, 0.331	359.000, 0.332	359.000, 0.331	359.000, 0.332
360.000, 0.333	360.000, 0.333	360.000, 0.334	360.000, 0.333	360.000, 0.334
