325.000, 0.090	325.000, 0.088	325.000, 0.089	325.000, 0.084	325.000, 0.078	325.000, 0.081	325.000, 0.106	325.000, 0.107	325.000, 0.117	325.000, 0.120
326.000, 0.077	326.000, 0.074	326.000, 0.083	326.000, 0.077	326.000, 0.074	326.000, 0.081	326.000, 0.103	326.000, 0.106	326.000, 0.111	326.000, 0.119
327.000, 0.063	327.000, 0.058	327.000, 0.072	327.000, 0.066	327.000, 0.065	327.000, 0.073	327.000, 0.099	327.000, 0.097	327.000, 0.099	327.000, 0.113
328.000, 0.062	328.000, 0.065	328.000, 0.067	328.000, 0.066	328.000, 0.064	328.000, 0.064	328.000, 0.094	328.000, 0.093	328.000, 0.100	328.000, 0.112
329.000, 0.070	329.000, 0.076	329.000, 0.069	329.000, 0.072	329.000, 0.069	329.000, 0.066	329.000, 0.100	329.000, 0.093	329.000, 0.109	329.000, 0.116
330.000, 0.079	330.000, 0.083	330.000, 0.074	330.000, 0.079	330.000, 0.074	330.000, 0.074	330.000, 0.109	330.000, 0.096	330.000, 0.116	330.000, 0.119
331.000, 0.080	331.000, 0.079	331.000, 0.075	331.000, 0.073	331.000, 0.069	331.000, 0.073	331.000, 0.105	331.000, 0.096	331.000, 0.103	331.000, 0.114
332.000, 0.077	332.000, 0.077	332.000, 0.073	332.000, 0.068	332.000, 0.068	332.000, 0.072	332.000, 0.103	332.000, 0.097	332.000, 0.099	332.000, 0.111
333.000, 0.076	333.000, 0.079	333.000, 0.071	333.000, 0.069	333.000, 0.074	333.000, 0.074	333.000, 0.106	333.000, 0.098	333.000, 0.109	333.000, 0.113
334.000, 0.080	334.000, 0.078	334.000, 0.076	334.000, 0.075	334.000, 0.080	334.000, 0.079	334.000, 0.109	334.000, 0.099	334.000, 0.118	334.000, 0.116
335.000, 0.085	335.000, 0.078	335.000, 0.081	335.000, 0.081	335.000, 0.083	335.000, 0.084	335.000, 0.113	335.000, 0.100	335.000, 0.120	335.000, 0.120
336.000, 0.087	336.000, 0.083	336.000, 0.082	336.000, 0.085	336.000, 0.085	336.000, 0.085	336.000, 0.117	336.000, 0.104	336.000, 0.118	336.000, 0.121
337.000, 0.090	337.000, 0.092	337.000, 0.088	337.000, 0.090	337.000, 0.088	337.000, 0.090	337.000, 0.118	337.000, 0.111	337.000, 0.120	337.000, 0.128
338.000, 0.093	338.000, 0.100	338.000, 0.094	338.000, 0.091	338.000, 0.089	338.000, 0.093	338.000, 0.119	338.000, 0.115	338.000, 0.125	338.000, 0.134
339.000, 0.092	339.000, 0.096	339.000, 0.090	339.000, 0.084	339.000, 0.083	339.000, 0.087	339.000, 0.121	339.000, 0.109	339.000, 0.124	339.000, 0.131
340.000, 0.090	340.000, 0.091	340.000, 0.090	340.000, 0.082	340.000, 0.083	340.000, 0.085	340.000, 0.121	340.000, 0.108	340.000, 0.122	340.000, 0.131
341.000, 0.089	341.000, 0.087	341.000, 0.094	341.000, 0.087	341.000, 0.088	341.000, 0.088	341.000, 0.119	341.000, 0.113	341.000, 0.122	341.000, 0.136
342.000, 0.092	342.000, 0.090	342.000, 0.093	342.000, 0.087	342.000, 0.090	342.000, 0.092	342.000, 0.125	342.000, 0.115	342.000, 0.125	342.000, 0.137
343.000, 0.095	343.000, 0.094	343.000, 0.094	343.000, 0.089	343.000, 0.092	343.000, 0.096	343.000, 0.129	343.000, 0.116	343.000, 0.129	343.000, 0.138
344.000, 0.100	344.000, 0.100	344.000, 0.101	344.000, 0.096	344.000, 0.094	344.000, 0.100	344.000, 0.131	344.000, 0.117	344.000, 0.133	344.000, 0.141
345.000, 0.107	345.000, 0.105	345.000, 0.105	345.000, 0.102	345.000, 0.098	345.000, 0.103	345.000, 0.136	345.000, 0.123	345.000, 0.137	345.000, 0.147
346.000, 0.111	346.000, 0.109	346.000, 0.107	346.000, 0.106	346.000, 0.102	346.000, 0.105	346.000, 0.140	346.000, 0.127	346.000, 0.140	346.000, 0.152
347.000, 0.108	347.000, 0.109	347.000, 0.106	347.000, 0.106	347.000, 0.105	347.000, 0.107	347.000, 0.137	347.000, 0.124	347.000, 0.139	347.000, 0.151
348.000, 0.111	348.000, 0.110	348.000, 0.106	348.000, 0.106	348.000, 0.107	348.000, 0.109	348.000, 0.136	348.000, 0.126	348.000, 0.141	348.000, 0.152
349.000, 0.117	349.000, 0.111	349.000, 0.107	349.000, 0.107	349.000, 0.108	349.000, 0.111	349.000, 0.138	349.000, 0.130	349.000, 0.145	349.000, 0.155
350.000, 0.114	350.000, 0.110	350.000, 0.106	350.000, 0.106	350.000, 0.106	350.000, 0.112	350.000, 0.142	350.000, 0.129	350.000, 0.145	350.000, 0.153
351.000, 0.113	351.000, 0.111	351.000, 0.106	351.000, 0.107	351.000, 0.106	351.000, 0.112	351.000, 0.144	351.000, 0.130	351.000, 0.146	351.000, 0.154
352.000, 0.116	352.000, 0.116	352.000, 0.110	352.000, 0.111	352.000, 0.110	352.000, 0.115	352.000, 0.145	352.000, 0.134	352.000, 0.148	352.000, 0.160
353.000, 0.119	353.000, 0.119	353.000, 0.116	353.000, 0.114	353.000, 0.114	353.000, 0.119	353.000, 0.148	353.000, 0.137	353.000, 0.151	353.000, 0.165
354.000, 0.122	354.000, 0.120	354.000, 0.119	354.000, 0.117	354.000, 0.116	354.000, 0.122	354.000, 0.150	354.000, 0.139	354.000, 0.154	354.000, 0.168
355.000, 0.123	355.000, 0.121	355.000, 0.118	355.000, 0.120	355.000, 0.117	355.000, 0.123	355.000, 0.152	355.000, 0.139	355.000, 0.157	355.000, 0.168
356.000, 0.125	356.000, 0.123	356.000, 0.120	356.000, 0.121	356.000, 0.119	356.000, 0.125	356.000, 0.154	356.000, 0.140	356.000, 0.158	356.000, 0.168
357.000, 0.128	357.000, 0.127	357.000, 0.124	357.000, 0.123	357.000, 0.122	357.000, 0.128	357.000, 0.156	357.000, 0.143	357.000, 0.160	357.000, 0.169
358.000, 0.129	358.000, 0.129	358.000, 0.127	358.000, 0.124	358.000, 0.121	358.000, 0.129	358.000, 0.160	358.000, 0.146	358.000, 0.162	358.000, 0.172
359.000, 0.130	359.000, 0.130	359.000, 0.128	359.000, 0.125	359.000, 0.123	359.000, 0.130	359.000, 0.161	359.000, 0.146	359.000, 0.163	359.000, 0.174
360.000, 0.131	360.000, 0.130	360.000, 0.128	360.000, 0.127	360.000, 0.127	360.000, 0.131	360.000, 0.160	360.000, 0.144	360.000, 0.164	360.000, 0.175
361.000, 0.133	361.000, 0.132	361.000, 0.130	361.000, 0.130	361.000, 0.129	361.000, 0.132	361.000, 0.162	361.000, 0.146	361.000, 0.166	361.000, 0.177
362.000, 0.135	362.000, 0.133	362.000, 0.131	362.000, 0.132	362.000, 0.130	362.000, 0.134	362.000, 0.164	362.000, 0.149	362.000, 0.167	362.000, 0.178
363.000, 0.136	363.000, 0.134	363.000, 0.132	363.000, 0.131	363.000, 0.128	363.000, 0.135	363.000, 0.164	363.000, 0.152	363.000, 0.167	363.000, 0.178
364.000, 0.135	364.000, 0.134	364.000, 0.132	364.000, 0.131	364.000, 0.129	364.000, 0.136	364.000, 0.164	364.000, 0.150	364.000, 0.168	364.000, 0.179
365.000, 0.134	365.000, 0.135	365.000, 0.132	365.000, 0.132	365.000, 0.131	365.000, 0.136	365.000, 0.166	365.000, 0.148	365.000, 0.169	365.000, 0.180
366.000, 0.137	366.000, 0.136	366.000, 0.134	366.000, 0.134	366.000, 0.133	366.000, 0.137	366.000, 0.167	366.000, 0.151	366.000, 0.171	366.000, 0.182
367.000, 0.138	367.000, 0.137	367.000, 0.135	367.000, 0.135	367.000, 0.134	367.000, 0.139	367.000, 0.167	367.000, 0.153	367.000, 0.170	367.000, 0.182
368.000, 0.137	368.000, 0.138	368.000, 0.135	368.000, 0.134	368.000, 0.134	368.000, 0.140	368.000, 0.166	368.000, 0.153	368.000, 0.170	368.000, 0.181
369.000, 0.140	369.000, 0.139	369.000, 0.136	369.000, 0.134	369.000, 0.135	369.000, 0.141	369.000, 0.167	369.000, 0.154	369.000, 0.173	369.000, 0.183
370.000, 0.140	370.000, 0.138	370.000, 0.136	370.000, 0.134	370.000, 0.134	370.000, 0.140	370.000, 0.168	370.000, 0.154	370.000, 0.173	370.000, 0.184
371.000, 0.137	371.000, 0.135	371.000, 0.135	371.000, 0.134	371.000, 0.132	371.000, 0.137	371.000, 0.167	371.000, 0.152	371.000, 0.171	371.000, 0.183
372.000, 0.137	372.000, 0.136	372.000, 0.134	372.000, 0.135	372.000, 0.132	372.000, 0.138	372.000, 0.168	372.000, 0.151	372.000, 0.172	372.000, 0.183
373.000, 0.140	373.000, 0.138	373.000, 0.135	373.000, 0.137	373.000, 0.135	373.000, 0.140	373.000, 0.170	373.000, 0.151	373.000, 0.173	373.000, 0.183
374.000, 0.141	374.000, 0.139	374.000, 0.137	374.000, 0.138	374.000, 0.137	374.000, 0.142	374.000, 0.170	374.000, 0.153	374.000, 0.174	374.000, 0.185
375.000, 0.141	375.000, 0.140	375.000, 0.138	375.000, 0.138	375.000, 0.137	375.000, 0.143	375.000, 0.171	375.000, 0.154	375.000, 0.174	375.000, 0.185
376.000, 0.141	376.000, 0.141	376.000, 0.138	376.000, 0.137	376.000, 0.137	376.000, 0.143	376.000, 0.171	376.000, 0.155	376.000, 0.174	376.000, 0.185
