325.000, 0.009	325.000, 0.005	325.000, 0.006	325.000, 0.008	325.000, 0.011
326.000, 0.010	326.000, 0.006	326.000, 0.009	326.000, 0.009	326.000, 0.009
327.000, 0.011	327.000, 0.008	327.000, 0.012	327.000, 0.012	327.000, 0.010
328.000, 0.016	328.000, 0.012	328.000, 0.014	328.000, 0.015	328.000, 0.018
329.000, 0.017	329.000, 0.013	329.000, 0.015	329.000, 0.015	329.000, 0.018
330.000, 0.015	330.000, 0.011	330.000, 0.016	330.000, 0.013	330.000, 0.012
331.000, 0.015	331.000, 0.014	331.000, 0.014	331.000, 0.014	331.000, 0.012
332.000, 0.015	332.000, 0.012	332.000, 0.013	332.000, 0.014	332.000, 0.011
333.000, 0.014	333.000, 0.006	333.000, 0.011	333.000, 0.014	333.000, 0.009
334.000, 0.012	334.000, 0.007	334.000, 0.009	334.000, 0.011	334.000, 0.006
335.000, 0.011	335.000, 0.011	335.000, 0.010	335.000, 0.010	335.000, 0.006
336.000, 0.015	336.000, 0.013	336.000, 0.015	336.000, 0.015	336.000, 0.015
337.000, 0.017	337.000, 0.013	337.000, 0.016	337.000, 0.018	337.000, 0.019
338.000, 0.016	338.000, 0.013	338.000, 0.014	338.000, 0.018	338.000, 0.018
339.000, 0.016	339.000, 0.012	339.000, 0.015	339.000, 0.015	339.000, 0.014
340.000, 0.017	340.000, 0.013	340.000, 0.016	340.000, 0.015	340.000, 0.014
341.000, 0.017	341.000, 0.014	341.000, 0.017	341.000, 0.016	341.000, 0.016
342.000, 0.015	342.000, 0.012	342.000, 0.011	342.000, 0.011	342.000, 0.014
343.000, 0.013	343.000, 0.010	343.000, 0.008	343.000, 0.008	343.000, 0.012
344.000, 0.014	344.000, 0.012	344.000, 0.010	344.000, 0.010	344.000, 0.013
345.000, 0.014	345.000, 0.012	345.000, 0.012	345.000, 0.013	345.000, 0.014
346.000, 0.014	346.000, 0.012	346.000, 0.013	346.000, 0.015	346.000, 0.014
347.000, 0.014	347.000, 0.013	347.000, 0.014	347.000, 0.015	347.000, 0.014
348.000, 0.014	348.000, 0.014	348.000, 0.015	348.000, 0.015	348.000, 0.014
349.000, 0.015	349.000, 0.013	349.000, 0.015	349.000, 0.016	349.000, 0.015
350.000, 0.018	350.000, 0.014	350.000, 0.016	350.000, 0.016	350.000, 0.017
351.000, 0.019	351.000, 0.016	351.000, 0.016	351.000, 0.017	351.000, 0.017
352.000, 0.018	352.000, 0.018	352.000, 0.015	352.000, 0.017	352.000, 0.017
353.000, 0.018	353.000, 0.018	353.000, 0.016	353.000, 0.017	353.000, 0.016
354.000, 0.019	354.000, 0.017	354.000, 0.017	354.000, 0.018	354.000, 0.016
355.000, 0.018	355.000, 0.016	355.000, 0.017	355.000, 0.020	355.000, 0.017
356.000, 0.019	356.000, 0.017	356.000, 0.017	356.000, 0.020	356.000, 0.018
357.000, 0.019	357.000, 0.019	357.000, 0.018	357.000, 0.019	357.000, 0.018
358.000, 0.019	358.000, 0.017	358.000, 0.018	358.000, 0.018	358.000, 0.018
359.000, 0.019	359.000, 0.017	359.000, 0.018	359.000, 0.017	359.000, 0.018
360.000, 0.020	360.000, 0.019	360.000, 0.018	360.000, 0.018	360.000, 0.019
361.000, 0.018	361.000, 0.016	361.000, 0.017	361.000, 0.018	361.000, 0.018
362.000, 0.018	362.000, 0.016	362.000, 0.017	362.000, 0.018	362.000, 0.018
363.000, 0.019	363.000, 0.018	363.000, 0.019	363.000, 0.019	363.000, 0.019
364.000, 0.020	364.000, 0.019	364.000, 0.019	364.000, 0.019	364.000, 0.019
365.000, 0.021	365.000, 0.019	365.000, 0.018	365.000, 0.020	365.000, 0.019
366.000, 0.021	366.000, 0.019	366.000, 0.018	366.000, 0.019	366.000, 0.019
367.000, 0.021	367.000, 0.019	367.000, 0.019	367.000, 0.019	367.000, 0.020
368.000, 0.021	368.000, 0.019	368.000, 0.020	368.000, 0.020	368.000, 0.020
369.000, 0.020	369.000, 0.018	369.000, 0.017	369.000, 0.019	369.000, 0.019
370.000, 0.020	370.000, 0.018	370.000, 0.016	370.000, 0.019	370.000, 0.018
371.000, 0.020	371.000, 0.018	371.000, 0.018	371.000, 0.019	371.000, 0.019
372.000, 0.020	372.000, 0.018	372.000, 0.017	372.000, 0.019	372.000, 0.018
373.000, 0.020	373.000, 0.018	373.000, 0.017	373.000, 0.019	373.000, 0.018
374.000, 0.021	374.000, 0.018	374.000, 0.018	374.000, 0.019	374.000, 0.019
375.000, 0.021	375.000, 0.019	375.000, 0.020	375.000, 0.020	375.000, 0.020
376.000, 0.022	376.000, 0.020	376.000, 0.021	376.000, 0.021	376.000, 0.021
377.000, 0.021	377.000, 0.019	377.000, 0.019	377.000, 0.021	377.000, 0.020
378.000, 0.021	378.000, 0.020	378.000, 0.019	378.000, 0.020	378.000, 0.020
