325.000, 0.031	325.000, 0.026	325.000, 0.032	325.000, 0.058	325.000, 0.039	325.000, 0.036
326.000, 0.031	326.000, 0.027	326.000, 0.027	326.000, 0.057	326.000, 0.043	326.000, 0.039
327.000, 0.026	327.000, 0.026	327.000, 0.020	327.000, 0.053	327.000, 0.041	327.000, 0.041
328.000, 0.023	328.000, 0.026	328.000, 0.018	328.000, 0.051	328.000, 0.034	328.000, 0.038
329.000, 0.021	329.000, 0.021	329.000, 0.021	329.000, 0.049	329.000, 0.029	329.000, 0.034
330.000, 0.020	330.000, 0.014	330.000, 0.025	330.000, 0.049	330.000, 0.028	330.000, 0.030
331.000, 0.023	331.000, 0.020	331.000, 0.028	331.000, 0.055	331.000, 0.033	331.000, 0.034
332.000, 0.027	332.000, 0.025	332.000, 0.029	332.000, 0.058	332.000, 0.038	332.000, 0.039
333.000, 0.028	333.000, 0.025	333.000, 0.028	333.000, 0.056	333.000, 0.039	333.000, 0.041
334.000, 0.025	334.000, 0.023	334.000, 0.028	334.000, 0.056	334.000, 0.038	334.000, 0.037
335.000, 0.020	335.000, 0.021	335.000, 0.027	335.000, 0.054	335.000, 0.035	335.000, 0.033
336.000, 0.016	336.000, 0.023	336.000, 0.024	336.000, 0.048	336.000, 0.032	336.000, 0.032
337.000, 0.020	337.000, 0.029	337.000, 0.026	337.000, 0.051	337.000, 0.036	337.000, 0.036
338.000, 0.024	338.000, 0.032	338.000, 0.028	338.000, 0.056	338.000, 0.040	338.000, 0.040
339.000, 0.017	339.000, 0.021	339.000, 0.020	339.000, 0.049	339.000, 0.032	339.000, 0.033
340.000, 0.018	340.000, 0.018	340.000, 0.022	340.000, 0.049	340.000, 0.031	340.000, 0.035
341.000, 0.027	341.000, 0.025	341.000, 0.030	341.000, 0.057	341.000, 0.037	341.000, 0.045
342.000, 0.022	342.000, 0.025	342.000, 0.027	342.000, 0.056	342.000, 0.039	342.000, 0.039
343.000, 0.018	343.000, 0.026	343.000, 0.025	343.000, 0.052	343.000, 0.038	343.000, 0.035
344.000, 0.021	344.000, 0.029	344.000, 0.027	344.000, 0.049	344.000, 0.035	344.000, 0.037
345.000, 0.023	345.000, 0.026	345.000, 0.026	345.000, 0.048	345.000, 0.035	345.000, 0.037
346.000, 0.023	346.000, 0.022	346.000, 0.024	346.000, 0.048	346.000, 0.036	346.000, 0.037
347.000, 0.023	347.000, 0.025	347.000, 0.025	347.000, 0.050	347.000, 0.037	347.000, 0.039
348.000, 0.022	348.000, 0.024	348.000, 0.024	348.000, 0.050	348.000, 0.036	348.000, 0.037
349.000, 0.019	349.000, 0.021	349.000, 0.023	349.000, 0.049	349.000, 0.035	349.000, 0.033
350.000, 0.020	350.000, 0.023	350.000, 0.024	350.000, 0.049	350.000, 0.036	350.000, 0.035
351.000, 0.022	351.000, 0.025	351.000, 0.025	351.000, 0.051	351.000, 0.037	351.000, 0.037
352.000, 0.024	352.000, 0.026	352.000, 0.025	352.000, 0.053	352.000, 0.038	352.000, 0.038
353.000, 0.023	353.000, 0.026	353.000, 0.027	353.000, 0.053	353.000, 0.037	353.000, 0.038
354.000, 0.023	354.000, 0.027	354.000, 0.027	354.000, 0.053	354.000, 0.037	354.000, 0.038
355.000, 0.025	355.000, 0.027	355.000, 0.024	355.000, 0.053	355.000, 0.039	355.000, 0.037
356.000, 0.023	356.000, 0.025	356.000, 0.023	356.000, 0.051	356.000, 0.037	356.000, 0.035
357.000, 0.020	357.000, 0.024	357.000, 0.024	357.000, 0.048	357.000, 0.034	357.000, 0.034
358.000, 0.022	358.000, 0.023	358.000, 0.025	358.000, 0.048	358.000, 0.034	358.000, 0.034
359.000, 0.022	359.000, 0.022	359.000, 0.025	359.000, 0.049	359.000, 0.035	359.000, 0.034
360.000, 0.021	360.000, 0.022	360.000, 0.023	360.000, 0.048	360.000, 0.036	360.000, 0.033
361.000, 0.022	361.000, 0.024	361.000, 0.025	361.000, 0.048	361.000, 0.036	361.000, 0.035
362.000, 0.024	362.000, 0.026	362.000, 0.026	362.000, 0.049	362.000, 0.037	362.000, 0.036
363.000, 0.024	363.000, 0.027	363.000, 0.027	363.000, 0.050	363.000, 0.039	363.000, 0.038
364.000, 0.023	364.000, 0.026	364.000, 0.026	364.000, 0.050	364.000, 0.038	364.000, 0.038
365.000, 0.023	365.000, 0.025	365.000, 0.025	365.000, 0.050	365.000, 0.037	365.000, 0.037
366.000, 0.025	366.000, 0.025	366.000, 0.027	366.000, 0.051	366.000, 0.039	366.000, 0.038
367.000, 0.024	367.000, 0.025	367.000, 0.027	367.000, 0.050	367.000, 0.039	367.000, 0.037
368.000, 0.021	368.000, 0.025	368.000, 0.025	368.000, 0.049	368.000, 0.038	368.000, 0.035
369.000, 0.023	369.000, 0.025	369.000, 0.026	369.000, 0.050	369.000, 0.039	369.000, 0.037
370.000, 0.024	370.000, 0.025	370.000, 0.027	370.000, 0.051	370.000, 0.039	370.000, 0.038
371.000, 0.025	371.000, 0.027	371.000, 0.027	371.000, 0.051	371.000, 0.039	371.000, 0.037
372.000, 0.024	372.000, 0.025	372.000, 0.027	372.000, 0.050	372.000, 0.038	372.000, 0.037
373.000, 0.023	373.000, 0.025	373.000, 0.027	373.000, 0.049	373.000, 0.039	373.000, 0.038
374.000, 0.025	374.000, 0.029	374.000, 0.028	374.000, 0.051	374.000, 0.041	374.000, 0.039
375.000, 0.025	375.000, 0.028	375.000, 0.028	375.000, 0.051	375.000, 0.041	375.000, 0.040
376.000, 0.025	376.000, 0.026	376.000, 0.028	376.000, 0.050	376.000, 0.040	376.000, 0.040
377.000, 0.025	377.000, 0.027	377.000, 0.028	377.000, 0.051	377.000, 0.040	377.000, 0.040
378.000, 0.025	378.000, 0.027	378.000, 0.028	378.000, 0.052	378.000, 0.040	378.000, 0.040
379.000, 0.024	379.000, 0.026	379.000, 0.027	379.000, 0.053	379.000, 0.039	379.000, 0.039
380.000, 0.024	380.000, 0.025	380.000, 0.027	380.000, 0.051	380.000, 0.039	380.000, 0.038
381.000, 0.024	381.000, 0.025	381.000, 0.027	381.000, 0.049	381.000, 0.040	381.000, 0.038
382.000, 0.025	382.000, 0.027	382.000, 0.028	382.000, 0.051	382.000, 0.041	382.000, 0.038
383.000, 0.024	383.000, 0.027	383.000, 0.028	383.000, 0.052	383.000, 0.040	383.000, 0.040
384.000, 0.024	384.000, 0.027	384.000, 0.028	384.000, 0.051	384.000, 0.040	384.000, 0.041
385.000, 0.025	385.000, 0.027	385.000, 0.029	385.000, 0.052	385.000, 0.040	385.000, 0.040
386.000, 0.025	386.000, 0.027	386.000, 0.029	386.000, 0.052	386.000, 0.040	386.000, 0.041
387.000, 0.026	387.000, 0.028	387.000, 0.029	387.000, 0.053	387.000, 0.041	387.000, 0.042
388.000, 0.025	388.000, 0.029	388.000, 0.029	388.000, 0.053	388.000, 0.041	388.000, 0.041
389.000, 0.026	389.000, 0.029	389.000, 0.030	389.000, 0.054	389.000, 0.042	389.000, 0.042
390.000, 0.027	390.000, 0.030	390.000, 0.031	390.000, 0.054	390.000, 0.043	390.000, 0.043
391.000, 0.027	391.000, 0.029	391.000, 0.030	391.000, 0.054	391.000, 0.043	391.000, 0.042
392.000, 0.026	392.000, 0.029	392.000, 0.030	392.000, 0.054	392.000, 0.043	392.000, 0.042
