325.000, 0.012	325.000, 0.017	325.000, 0.000
326.000, 0.011	326.000, 0.018	326.000, 0.002
327.000, 0.009	327.000, 0.017	327.000, 0.005
328.000, 0.009	328.000, 0.014	328.000, 0.001
329.000, 0.005	329.000, 0.011	329.000, 0.000
330.000, 0.002	330.000, 0.009	330.000, 0.001
331.000, 0.010	331.000, 0.011	331.000, 0.008
332.000, 0.017	332.000, 0.015	332.000, 0.013
333.000, 0.021	333.000, 0.018	333.000, 0.014
334.000, 0.015	334.000, 0.016	334.000, 0.008
335.000, 0.007	335.000, 0.013	335.000, 0.003
336.000, 0.003	336.000, 0.013	336.000, 0.003
337.000, 0.009	337.000, 0.016	337.000, 0.008
338.000, 0.016	338.000, 0.018	338.000, 0.012
339.000, 0.008	339.000, 0.010	339.000, 0.004
340.000, 0.008	340.000, 0.010	340.000, 0.004
341.000, 0.017	341.000, 0.018	341.000, 0.011
342.000, 0.013	342.000, 0.015	342.000, 0.010
343.000, 0.010	343.000, 0.011	343.000, 0.007
344.000, 0.011	344.000, 0.011	344.000, 0.006
345.000, 0.012	345.000, 0.010	345.000, 0.007
346.000, 0.012	346.000, 0.010	346.000, 0.008
347.000, 0.013	347.000, 0.011	347.000, 0.008
348.000, 0.011	348.000, 0.011	348.000, 0.007
349.000, 0.009	349.000, 0.010	349.000, 0.006
350.000, 0.009	350.000, 0.011	350.000, 0.006
351.000, 0.011	351.000, 0.012	351.000, 0.008
352.000, 0.013	352.000, 0.013	352.000, 0.010
353.000, 0.014	353.000, 0.013	353.000, 0.010
354.000, 0.014	354.000, 0.014	354.000, 0.009
355.000, 0.013	355.000, 0.014	355.000, 0.007
356.000, 0.013	356.000, 0.013	356.000, 0.006
357.000, 0.013	357.000, 0.012	357.000, 0.006
358.000, 0.013	358.000, 0.012	358.000, 0.006
359.000, 0.011	359.000, 0.011	359.000, 0.007
360.000, 0.009	360.000, 0.010	360.000, 0.009
361.000, 0.011	361.000, 0.012	361.000, 0.009
362.000, 0.013	362.000, 0.014	362.000, 0.009
363.000, 0.015	363.000, 0.015	363.000, 0.011
364.000, 0.014	364.000, 0.014	364.000, 0.010
365.000, 0.012	365.000, 0.013	365.000, 0.009
366.000, 0.014	366.000, 0.015	366.000, 0.011
367.000, 0.014	367.000, 0.015	367.000, 0.011
368.000, 0.012	368.000, 0.012	368.000, 0.009
369.000, 0.013	369.000, 0.014	369.000, 0.010
370.000, 0.014	370.000, 0.016	370.000, 0.010
371.000, 0.014	371.000, 0.016	371.000, 0.010
372.000, 0.014	372.000, 0.015	372.000, 0.010
373.000, 0.014	373.000, 0.015	373.000, 0.011
374.000, 0.016	374.000, 0.017	374.000, 0.013
375.000, 0.016	375.000, 0.017	375.000, 0.012
376.000, 0.016	376.000, 0.017	376.000, 0.010
377.000, 0.017	377.000, 0.018	377.000, 0.011
378.000, 0.017	378.000, 0.017	378.000, 0.012
379.000, 0.016	379.000, 0.016	379.000, 0.012
380.000, 0.015	380.000, 0.015	380.000, 0.011
381.000, 0.014	381.000, 0.015	381.000, 0.011
382.000, 0.016	382.000, 0.015	382.000, 0.012
383.000, 0.016	383.000, 0.016	383.000, 0.011
384.000, 0.016	384.000, 0.016	384.000, 0.010
385.000, 0.017	385.000, 0.017	385.000, 0.012
386.000, 0.017	386.000, 0.018	386.000, 0.013
387.000, 0.017	387.000, 0.019	387.000, 0.013
388.000, 0.016	388.000, 0.019	388.000, 0.013
