325.000, 0.018	325.000, 0.027	325.000, 0.021	325.000, 0.028	325.000, 0.026	325.000, 0.032	325.000, 0.033	325.000, 0.049	325.000, 0.045	325.000, 0.037
326.000, 0.025	326.000, 0.027	326.000, 0.020	326.000, 0.029	326.000, 0.024	326.000, 0.039	326.000, 0.036	326.000, 0.044	326.000, 0.044	326.000, 0.040
327.000, 0.024	327.000, 0.017	327.000, 0.015	327.000, 0.017	327.000, 0.018	327.000, 0.037	327.000, 0.030	327.000, 0.033	327.000, 0.030	327.000, 0.034
328.000, 0.010	328.000, 0.002	328.000, 0.011	328.000, 0.001	328.000, 0.009	328.000, 0.024	328.000, 0.015	328.000, 0.024	328.000, 0.012	328.000, 0.020
329.000, 0.009	329.000, 0.007	329.000, 0.014	329.000, 0.002	329.000, 0.012	329.000, 0.020	329.000, 0.015	329.000, 0.027	329.000, 0.012	329.000, 0.020
330.000, 0.019	330.000, 0.022	330.000, 0.022	330.000, 0.014	330.000, 0.022	330.000, 0.025	330.000, 0.028	330.000, 0.038	330.000, 0.025	330.000, 0.030
331.000, 0.029	331.000, 0.030	331.000, 0.032	331.000, 0.021	331.000, 0.024	331.000, 0.033	331.000, 0.040	331.000, 0.046	331.000, 0.034	331.000, 0.037
332.000, 0.030	332.000, 0.028	332.000, 0.031	332.000, 0.022	332.000, 0.024	332.000, 0.034	332.000, 0.043	332.000, 0.045	332.000, 0.033	332.000, 0.038
333.000, 0.023	333.000, 0.019	333.000, 0.021	333.000, 0.018	333.000, 0.024	333.000, 0.029	333.000, 0.038	333.000, 0.038	333.000, 0.025	333.000, 0.033
334.000, 0.018	334.000, 0.014	334.000, 0.020	334.000, 0.018	334.000, 0.026	334.000, 0.026	334.000, 0.034	334.000, 0.035	334.000, 0.025	334.000, 0.030
335.000, 0.018	335.000, 0.011	335.000, 0.022	335.000, 0.018	335.000, 0.027	335.000, 0.027	335.000, 0.031	335.000, 0.037	335.000, 0.027	335.000, 0.028
336.000, 0.021	336.000, 0.013	336.000, 0.021	336.000, 0.016	336.000, 0.024	336.000, 0.032	336.000, 0.031	336.000, 0.042	336.000, 0.029	336.000, 0.030
337.000, 0.021	337.000, 0.013	337.000, 0.018	337.000, 0.015	337.000, 0.021	337.000, 0.028	337.000, 0.031	337.000, 0.043	337.000, 0.031	337.000, 0.032
338.000, 0.020	338.000, 0.013	338.000, 0.016	338.000, 0.014	338.000, 0.018	338.000, 0.021	338.000, 0.032	338.000, 0.042	338.000, 0.033	338.000, 0.034
339.000, 0.022	339.000, 0.016	339.000, 0.020	339.000, 0.016	339.000, 0.018	339.000, 0.028	339.000, 0.033	339.000, 0.040	339.000, 0.028	339.000, 0.034
340.000, 0.023	340.000, 0.017	340.000, 0.021	340.000, 0.021	340.000, 0.023	340.000, 0.030	340.000, 0.036	340.000, 0.039	340.000, 0.027	340.000, 0.033
341.000, 0.022	341.000, 0.016	341.000, 0.019	341.000, 0.027	341.000, 0.029	341.000, 0.027	341.000, 0.038	341.000, 0.038	341.000, 0.028	341.000, 0.032
342.000, 0.020	342.000, 0.016	342.000, 0.018	342.000, 0.024	342.000, 0.025	342.000, 0.026	342.000, 0.036	342.000, 0.039	342.000, 0.027	342.000, 0.030
343.000, 0.022	343.000, 0.019	343.000, 0.021	343.000, 0.023	343.000, 0.026	343.000, 0.030	343.000, 0.038	343.000, 0.042	343.000, 0.028	343.000, 0.032
344.000, 0.028	344.000, 0.023	344.000, 0.027	344.000, 0.027	344.000, 0.033	344.000, 0.037	344.000, 0.045	344.000, 0.048	344.000, 0.033	344.000, 0.038
345.000, 0.029	345.000, 0.023	345.000, 0.028	345.000, 0.027	345.000, 0.032	345.000, 0.035	345.000, 0.045	345.000, 0.049	345.000, 0.035	345.000, 0.039
