325.000, 0.439	325.000, 0.445	325.000, 0.444	325.000, 0.429	325.000, 0.422	325.000, 0.394	325.000, 0.408	325.000, 0.392	325.000, 0.366	325.000, 0.353
326.000, 0.435	326.000, 0.446	326.000, 0.444	326.000, 0.426	326.000, 0.424	326.000, 0.395	326.000, 0.404	326.000, 0.394	326.000, 0.371	326.000, 0.357
327.000, 0.430	327.000, 0.443	327.000, 0.442	327.000, 0.427	327.000, 0.426	327.000, 0.395	327.000, 0.400	327.000, 0.397	327.000, 0.375	327.000, 0.361
328.000, 0.434	328.000, 0.440	328.000, 0.449	328.000, 0.433	328.000, 0.426	328.000, 0.402	328.000, 0.407	328.000, 0.400	328.000, 0.376	328.000, 0.364
329.000, 0.436	329.000, 0.442	329.000, 0.452	329.000, 0.437	329.000, 0.428	329.000, 0.404	329.000, 0.409	329.000, 0.403	329.000, 0.371	329.000, 0.362
330.000, 0.434	330.000, 0.447	330.000, 0.450	330.000, 0.437	330.000, 0.430	330.000, 0.403	330.000, 0.406	330.000, 0.403	330.000, 0.365	330.000, 0.359
331.000, 0.436	331.000, 0.446	331.000, 0.448	331.000, 0.434	331.000, 0.428	331.000, 0.404	331.000, 0.406	331.000, 0.399	331.000, 0.365	331.000, 0.359
332.000, 0.437	332.000, 0.446	332.000, 0.448	332.000, 0.433	332.000, 0.428	332.000, 0.404	332.000, 0.407	332.000, 0.398	332.000, 0.364	332.000, 0.362
333.000, 0.439	333.000, 0.448	333.000, 0.451	333.000, 0.436	333.000, 0.432	333.000, 0.404	333.000, 0.408	333.000, 0.401	333.000, 0.361	333.000, 0.365
334.000, 0.443	334.000, 0.451	334.000, 0.456	334.000, 0.441	334.000, 0.436	334.000, 0.408	334.000, 0.410	334.000, 0.404	334.000, 0.367	334.000, 0.369
335.000, 0.446	335.000, 0.454	335.000, 0.461	335.000, 0.445	335.000, 0.439	335.000, 0.411	335.000, 0.412	335.000, 0.407	335.000, 0.372	335.000, 0.369
336.000, 0.445	336.000, 0.459	336.000, 0.462	336.000, 0.444	336.000, 0.439	336.000, 0.410	336.000, 0.416	336.000, 0.410	336.000, 0.372	336.000, 0.365
337.000, 0.447	337.000, 0.461	337.000, 0.461	337.000, 0.444	337.000, 0.438	337.000, 0.410	337.000, 0.417	337.000, 0.409	337.000, 0.374	337.000, 0.364
338.000, 0.449	338.000, 0.461	338.000, 0.460	338.000, 0.447	338.000, 0.437	338.000, 0.412	338.000, 0.417	338.000, 0.408	338.000, 0.376	338.000, 0.364
339.000, 0.447	339.000, 0.463	339.000, 0.466	339.000, 0.449	339.000, 0.437	339.000, 0.414	339.000, 0.420	339.000, 0.412	339.000, 0.374	339.000, 0.362
340.000, 0.451	340.000, 0.465	340.000, 0.471	340.000, 0.452	340.000, 0.441	340.000, 0.416	340.000, 0.422	340.000, 0.417	340.000, 0.377	340.000, 0.365
341.000, 0.460	341.000, 0.467	341.000, 0.473	341.000, 0.455	341.000, 0.447	341.000, 0.416	341.000, 0.422	341.000, 0.420	341.000, 0.382	341.000, 0.372
342.000, 0.457	342.000, 0.467	342.000, 0.472	342.000, 0.452	342.000, 0.447	342.000, 0.416	342.000, 0.422	342.000, 0.417	342.000, 0.380	342.000, 0.368
343.000, 0.452	343.000, 0.467	343.000, 0.471	343.000, 0.450	343.000, 0.446	343.000, 0.416	343.000, 0.421	343.000, 0.414	343.000, 0.378	343.000, 0.364
344.000, 0.449	344.000, 0.467	344.000, 0.471	344.000, 0.449	344.000, 0.445	344.000, 0.417	344.000, 0.417	344.000, 0.414	344.000, 0.381	344.000, 0.364
345.000, 0.450	345.000, 0.468	345.000, 0.473	345.000, 0.451	345.000, 0.446	345.000, 0.416	345.000, 0.417	345.000, 0.415	345.000, 0.377	345.000, 0.364
346.000, 0.455	346.000, 0.472	346.000, 0.478	346.000, 0.454	346.000, 0.449	346.000, 0.416	346.000, 0.420	346.000, 0.418	346.000, 0.375	346.000, 0.366
347.000, 0.461	347.000, 0.480	347.000, 0.485	347.000, 0.458	347.000, 0.453	347.000, 0.421	347.000, 0.428	347.000, 0.422	347.000, 0.381	347.000, 0.373
348.000, 0.465	348.000, 0.482	348.000, 0.488	348.000, 0.463	348.000, 0.455	348.000, 0.425	348.000, 0.430	348.000, 0.425	348.000, 0.382	348.000, 0.373
349.000, 0.465	349.000, 0.480	349.000, 0.488	349.000, 0.466	349.000, 0.456	349.000, 0.426	349.000, 0.427	349.000, 0.425	349.000, 0.378	349.000, 0.370
350.000, 0.464	350.000, 0.481	350.000, 0.484	350.000, 0.465	350.000, 0.456	350.000, 0.424	350.000, 0.428	350.000, 0.424	350.000, 0.379	350.000, 0.370
351.000, 0.462	351.000, 0.482	351.000, 0.484	351.000, 0.464	351.000, 0.455	351.000, 0.424	351.000, 0.429	351.000, 0.423	351.000, 0.379	351.000, 0.369
352.000, 0.462	352.000, 0.483	352.000, 0.488	352.000, 0.465	352.000, 0.455	352.000, 0.427	352.000, 0.430	352.000, 0.424	352.000, 0.379	352.000, 0.369
353.000, 0.465	353.000, 0.484	353.000, 0.492	353.000, 0.466	353.000, 0.458	353.000, 0.427	353.000, 0.431	353.000, 0.425	353.000, 0.382	353.000, 0.369
354.000, 0.467	354.000, 0.486	354.000, 0.494	354.000, 0.468	354.000, 0.460	354.000, 0.427	354.000, 0.431	354.000, 0.426	354.000, 0.384	354.000, 0.369
355.000, 0.468	355.000, 0.489	355.000, 0.494	355.000, 0.470	355.000, 0.459	355.000, 0.430	355.000, 0.432	355.000, 0.428	355.000, 0.384	355.000, 0.370
356.000, 0.470	356.000, 0.493	356.000, 0.497	356.000, 0.473	356.000, 0.463	356.000, 0.432	356.000, 0.436	356.000, 0.431	356.000, 0.386	356.000, 0.373
357.000, 0.474	357.000, 0.496	357.000, 0.501	357.000, 0.476	357.000, 0.468	357.000, 0.434	357.000, 0.440	357.000, 0.435	357.000, 0.388	357.000, 0.376
358.000, 0.475	358.000, 0.497	358.000, 0.503	358.000, 0.478	358.000, 0.469	358.000, 0.435	358.000, 0.440	358.000, 0.437	358.000, 0.388	358.000, 0.375
359.000, 0.476	359.000, 0.497	359.000, 0.505	359.000, 0.479	359.000, 0.469	359.000, 0.436	359.000, 0.439	359.000, 0.437	359.000, 0.387	359.000, 0.375
360.000, 0.477	360.000, 0.498	360.000, 0.506	360.000, 0.481	360.000, 0.470	360.000, 0.437	360.000, 0.439	360.000, 0.436	360.000, 0.387	360.000, 0.376
361.000, 0.479	361.000, 0.502	361.000, 0.509	361.000, 0.483	361.000, 0.473	361.000, 0.439	361.000, 0.441	361.000, 0.439	361.000, 0.389	361.000, 0.377
362.000, 0.481	362.000, 0.504	362.000, 0.512	362.000, 0.484	362.000, 0.476	362.000, 0.441	362.000, 0.444	362.000, 0.441	362.000, 0.390	362.000, 0.377
363.000, 0.481	363.000, 0.505	363.000, 0.515	363.000, 0.485	363.000, 0.477	363.000, 0.441	363.000, 0.447	363.000, 0.443	363.000, 0.390	363.000, 0.378
364.000, 0.483	364.000, 0.508	364.000, 0.517	364.000, 0.487	364.000, 0.479	364.000, 0.442	364.000, 0.449	364.000, 0.444	364.000, 0.391	364.000, 0.378
365.000, 0.486	365.000, 0.512	365.000, 0.519	365.000, 0.490	365.000, 0.481	365.000, 0.444	365.000, 0.450	365.000, 0.445	365.000, 0.393	365.000, 0.380
366.000, 0.487	366.000, 0.513	366.000, 0.522	366.000, 0.491	366.000, 0.482	366.000, 0.447	366.000, 0.450	366.000, 0.448	366.000, 0.395	366.000, 0.382
367.000, 0.488	367.000, 0.513	367.000, 0.523	367.000, 0.493	367.000, 0.483	367.000, 0.448	367.000, 0.451	367.000, 0.449	367.000, 0.395	367.000, 0.382
368.000, 0.488	368.000, 0.514	368.000, 0.524	368.000, 0.495	368.000, 0.485	368.000, 0.448	368.000, 0.454	368.000, 0.448	368.000, 0.394	368.000, 0.381
369.000, 0.492	369.000, 0.518	369.000, 0.527	369.000, 0.498	369.000, 0.487	369.000, 0.450	369.000, 0.455	369.000, 0.451	369.000, 0.395	369.000, 0.383
370.000, 0.494	370.000, 0.521	370.000, 0.529	370.000, 0.500	370.000, 0.489	370.000, 0.452	370.000, 0.456	370.000, 0.453	370.000, 0.396	370.000, 0.383
371.000, 0.494	371.000, 0.521	371.000, 0.531	371.000, 0.500	371.000, 0.489	371.000, 0.454	371.000, 0.457	371.000, 0.453	371.000, 0.396	371.000, 0.382
372.000, 0.495	372.000, 0.524	372.000, 0.533	372.000, 0.502	372.000, 0.491	372.000, 0.454	372.000, 0.458	372.000, 0.454	372.000, 0.398	372.000, 0.384
373.000, 0.497	373.000, 0.527	373.000, 0.535	373.000, 0.504	373.000, 0.493	373.000, 0.455	373.000, 0.460	373.000, 0.456	373.000, 0.400	373.000, 0.386
374.000, 0.500	374.000, 0.529	374.000, 0.537	374.000, 0.506	374.000, 0.497	374.000, 0.458	374.000, 0.463	374.000, 0.458	374.000, 0.402	374.000, 0.386
375.000, 0.501	375.000, 0.531	375.000, 0.539	375.000, 0.507	375.000, 0.498	375.000, 0.459	375.000, 0.464	375.000, 0.460	375.000, 0.402	375.000, 0.387
376.000, 0.502	376.000, 0.533	376.000, 0.541	376.000, 0.508	376.000, 0.499	376.000, 0.458	376.000, 0.464	376.000, 0.461	376.000, 0.402	376.000, 0.387
377.000, 0.504	377.000, 0.534	377.000, 0.544	377.000, 0.510	377.000, 0.502	377.000, 0.460	377.000, 0.466	377.000, 0.461	377.000, 0.403	377.000, 0.388
378.000, 0.505	378.000, 0.536	378.000, 0.547	378.000, 0.514	378.000, 0.503	378.000, 0.463	378.000, 0.467	378.000, 0.463	378.000, 0.404	378.000, 0.389
379.000, 0.507	379.000, 0.539	379.000, 0.550	379.000, 0.517	379.000, 0.504	379.000, 0.465	379.000, 0.469	379.000, 0.465	379.000, 0.405	379.000, 0.390
380.000, 0.509	380.000, 0.542	380.000, 0.551	380.000, 0.518	380.000, 0.507	380.000, 0.467	380.000, 0.470	380.000, 0.467	380.000, 0.405	380.000, 0.391
381.000, 0.512	381.000, 0.544	381.000, 0.553	381.000, 0.520	381.000, 0.509	381.000, 0.468	381.000, 0.473	381.000, 0.470	381.000, 0.407	381.000, 0.392
382.000, 0.514	382.000, 0.546	382.000, 0.556	382.000, 0.522	382.000, 0.511	382.000, 0.469	382.000, 0.475	382.000, 0.471	382.000, 0.410	382.000, 0.394
383.000, 0.515	383.000, 0.548	383.000, 0.559	383.000, 0.523	383.000, 0.513	383.000, 0.470	383.000, 0.477	383.000, 0.472	383.000, 0.411	383.000, 0.394
384.000, 0.516	384.000, 0.550	384.000, 0.562	384.000, 0.524	384.000, 0.515	384.000, 0.472	384.000, 0.479	384.000, 0.473	384.000, 0.411	384.000, 0.395
385.000, 0.518	385.000, 0.553	385.000, 0.565	385.000, 0.529	385.000, 0.516	385.000, 0.474	385.000, 0.481	385.000, 0.476	385.000, 0.412	385.000, 0.397
386.000, 0.519	386.000, 0.556	386.000, 0.567	386.000, 0.532	386.000, 0.518	386.000, 0.476	386.000, 0.482	386.000, 0.478	386.000, 0.414	386.000, 0.398
387.000, 0.521	387.000, 0.558	387.000, 0.569	387.000, 0.533	387.000, 0.521	387.000, 0.476	387.000, 0.482	387.000, 0.479	387.000, 0.415	387.000, 0.398
388.000, 0.522	388.000, 0.559	388.000, 0.569	388.000, 0.533	388.000, 0.522	388.000, 0.477	388.000, 0.484	388.000, 0.480	388.000, 0.414	388.000, 0.397
389.000, 0.525	389.000, 0.561	389.000, 0.571	389.000, 0.535	389.000, 0.525	389.000, 0.479	389.000, 0.486	389.000, 0.482	389.000, 0.416	389.000, 0.399
390.000, 0.527	390.000, 0.565	390.000, 0.575	390.000, 0.539	390.000, 0.529	390.000, 0.482	390.000, 0.488	390.000, 0.484	390.000, 0.418	390.000, 0.402
391.000, 0.529	391.000, 0.566	391.000, 0.577	391.000, 0.541	391.000, 0.528	391.000, 0.483	391.000, 0.489	391.000, 0.485	391.000, 0.418	391.000, 0.401
392.000, 0.530	392.000, 0.568	392.000, 0.580	392.000, 0.541	392.000, 0.528	392.000, 0.483	392.000, 0.490	392.000, 0.485	392.000, 0.418	392.000, 0.401
393.000, 0.531	393.000, 0.570	393.000, 0.583	393.000, 0.543	393.000, 0.530	393.000, 0.484	393.000, 0.492	393.000, 0.487	393.000, 0.420	393.000, 0.402
394.000, 0.533	394.000, 0.572	394.000, 0.585	394.000, 0.545	394.000, 0.533	394.000, 0.487	394.000, 0.494	394.000, 0.490	394.000, 0.422	394.000, 0.403
395.000, 0.535	395.000, 0.574	395.000, 0.586	395.000, 0.547	395.000, 0.537	395.000, 0.491	395.000, 0.496	395.000, 0.493	395.000, 0.423	395.000, 0.405
396.000, 0.537	396.000, 0.578	396.000, 0.589	396.000, 0.550	396.000, 0.538	396.000, 0.492	396.000, 0.497	396.000, 0.494	396.000, 0.424	396.000, 0.406
397.000, 0.538	397.000, 0.580	397.000, 0.591	397.000, 0.552	397.000, 0.539	397.000, 0.492	397.000, 0.498	397.000, 0.494	397.000, 0.424	397.000, 0.406
398.000, 0.538	398.000, 0.580	398.000, 0.592	398.000, 0.553	398.000, 0.540	398.000, 0.492	398.000, 0.498	398.000, 0.494	398.000, 0.424	398.000, 0.406
399.000, 0.538	399.000, 0.581	399.000, 0.593	399.000, 0.554	399.000, 0.540	399.000, 0.493	399.000, 0.499	399.000, 0.495	399.000, 0.424	399.000, 0.405
400.000, 0.539	400.000, 0.581	400.000, 0.594	400.000, 0.555	400.000, 0.541	400.000, 0.494	400.000, 0.500	400.000, 0.496	400.000, 0.424	400.000, 0.406
401.000, 0.540	401.000, 0.583	401.000, 0.596	401.000, 0.556	401.000, 0.542	401.000, 0.494	401.000, 0.501	401.000, 0.497	401.000, 0.425	401.000, 0.407
402.000, 0.541	402.000, 0.584	402.000, 0.597	402.000, 0.556	402.000, 0.543	402.000, 0.496	402.000, 0.502	402.000, 0.498	402.000, 0.425	402.000, 0.407
403.000, 0.542	403.000, 0.586	403.000, 0.598	403.000, 0.557	403.000, 0.544	403.000, 0.497	403.000, 0.503	403.000, 0.499	403.000, 0.426	403.000, 0.408
404.000, 0.543	404.000, 0.587	404.000, 0.599	404.000, 0.558	404.000, 0.545	404.000, 0.497	404.000, 0.503	404.000, 0.499	404.000, 0.426	404.000, 0.408
