325.000, 0.095	325.000, 0.100	325.000, 0.098	325.000, 0.092	325.000, 0.102	325.000, 0.106
326.000, 0.099	326.000, 0.101	326.000, 0.099	326.000, 0.097	326.000, 0.102	326.000, 0.107
327.000, 0.101	327.000, 0.101	327.000, 0.098	327.000, 0.101	327.000, 0.099	327.000, 0.104
328.000, 0.103	328.000, 0.095	328.000, 0.103	328.000, 0.096	328.000, 0.096	328.000, 0.100
329.000, 0.101	329.000, 0.093	329.000, 0.102	329.000, 0.090	329.000, 0.095	329.000, 0.096
330.000, 0.097	330.000, 0.095	330.000, 0.098	330.000, 0.088	330.000, 0.096	330.000, 0.096
331.000, 0.098	331.000, 0.098	331.000, 0.100	331.000, 0.096	331.000, 0.098	331.000, 0.102
332.000, 0.099	332.000, 0.103	332.000, 0.102	332.000, 0.101	332.000, 0.100	332.000, 0.105
333.000, 0.099	333.000, 0.109	333.000, 0.104	333.000, 0.098	333.000, 0.101	333.000, 0.103
334.000, 0.096	334.000, 0.104	334.000, 0.105	334.000, 0.097	334.000, 0.100	334.000, 0.103
335.000, 0.092	335.000, 0.097	335.000, 0.103	335.000, 0.096	335.000, 0.099	335.000, 0.102
336.000, 0.092	336.000, 0.095	336.000, 0.096	336.000, 0.095	336.000, 0.098	336.000, 0.099
337.000, 0.098	337.000, 0.102	337.000, 0.101	337.000, 0.101	337.000, 0.105	337.000, 0.102
338.000, 0.102	338.000, 0.106	338.000, 0.107	338.000, 0.105	338.000, 0.110	338.000, 0.106
339.000, 0.095	339.000, 0.095	339.000, 0.097	339.000, 0.095	339.000, 0.099	339.000, 0.097
340.000, 0.095	340.000, 0.097	340.000, 0.099	340.000, 0.095	340.000, 0.098	340.000, 0.098
341.000, 0.102	341.000, 0.110	341.000, 0.112	341.000, 0.105	341.000, 0.108	341.000, 0.107
342.000, 0.101	342.000, 0.108	342.000, 0.108	342.000, 0.101	342.000, 0.104	342.000, 0.107
343.000, 0.100	343.000, 0.104	343.000, 0.104	343.000, 0.097	343.000, 0.101	343.000, 0.104
344.000, 0.102	344.000, 0.104	344.000, 0.107	344.000, 0.100	344.000, 0.105	344.000, 0.103
345.000, 0.101	345.000, 0.105	345.000, 0.108	345.000, 0.102	345.000, 0.105	345.000, 0.102
346.000, 0.100	346.000, 0.105	346.000, 0.108	346.000, 0.102	346.000, 0.105	346.000, 0.102
347.000, 0.102	347.000, 0.102	347.000, 0.109	347.000, 0.101	347.000, 0.106	347.000, 0.103
348.000, 0.103	348.000, 0.102	348.000, 0.109	348.000, 0.100	348.000, 0.106	348.000, 0.105
349.000, 0.102	349.000, 0.103	349.000, 0.108	349.000, 0.101	349.000, 0.105	349.000, 0.105
350.000, 0.102	350.000, 0.104	350.000, 0.108	350.000, 0.101	350.000, 0.106	350.000, 0.105
351.000, 0.103	351.000, 0.105	351.000, 0.109	351.000, 0.102	351.000, 0.107	351.000, 0.107
352.000, 0.105	352.000, 0.107	352.000, 0.111	352.000, 0.104	352.000, 0.107	352.000, 0.109
353.000, 0.105	353.000, 0.108	353.000, 0.112	353.000, 0.106	353.000, 0.107	353.000, 0.109
354.000, 0.105	354.000, 0.109	354.000, 0.112	354.000, 0.106	354.000, 0.108	354.000, 0.107
355.000, 0.106	355.000, 0.109	355.000, 0.111	355.000, 0.106	355.000, 0.109	355.000, 0.107
356.000, 0.105	356.000, 0.108	356.000, 0.110	356.000, 0.105	356.000, 0.108	356.000, 0.107
357.000, 0.104	357.000, 0.105	357.000, 0.110	357.000, 0.104	357.000, 0.108	357.000, 0.107
358.000, 0.106	358.000, 0.107	358.000, 0.110	358.000, 0.105	358.000, 0.108	358.000, 0.109
359.000, 0.106	359.000, 0.108	359.000, 0.110	359.000, 0.106	359.000, 0.109	359.000, 0.109
360.000, 0.105	360.000, 0.108	360.000, 0.109	360.000, 0.105	360.000, 0.109	360.000, 0.107
361.000, 0.106	361.000, 0.108	361.000, 0.111	361.000, 0.107	361.000, 0.110	361.000, 0.109
362.000, 0.108	362.000, 0.110	362.000, 0.114	362.000, 0.109	362.000, 0.112	362.000, 0.112
363.000, 0.110	363.000, 0.111	363.000, 0.116	363.000, 0.111	363.000, 0.115	363.000, 0.112
364.000, 0.111	364.000, 0.112	364.000, 0.116	364.000, 0.111	364.000, 0.115	364.000, 0.112
365.000, 0.111	365.000, 0.112	365.000, 0.115	365.000, 0.111	365.000, 0.114	365.000, 0.112
366.000, 0.112	366.000, 0.112	366.000, 0.116	366.000, 0.112	366.000, 0.116	366.000, 0.115
367.000, 0.111	367.000, 0.113	367.000, 0.116	367.000, 0.111	367.000, 0.116	367.000, 0.115
368.000, 0.110	368.000, 0.113	368.000, 0.115	368.000, 0.109	368.000, 0.116	368.000, 0.114
369.000, 0.112	369.000, 0.114	369.000, 0.117	369.000, 0.112	369.000, 0.118	369.000, 0.115
370.000, 0.114	370.000, 0.115	370.000, 0.119	370.000, 0.114	370.000, 0.119	370.000, 0.117
371.000, 0.113	371.000, 0.115	371.000, 0.118	371.000, 0.115	371.000, 0.118	371.000, 0.117
